pool,n,sum_ret,mean_bps,win,pf,pos_years,n_years,worst_year,era_16_21,era_22_26,med_hold
G0_raw,1214,1.908585105233095,15.72145885694477,0.700164744645799,1.7068733478791565,11,11,0.09251192645648472,0.9009980468423103,1.0075870583907847,18.0
G0_decon,1214,1.908585105233095,15.72145885694477,0.700164744645799,1.7068733478791565,11,11,0.09251192645648472,0.9009980468423103,1.0075870583907847,18.0
G1_raw,1209,1.8571163139670568,15.360763556385912,0.7022332506203474,1.7289137197883804,10,11,-0.048831015432560146,0.9320558295344237,0.9250604844326332,18.0
G1_decon,1118,1.6260105481963167,14.543922613562762,0.7003577817531306,1.6564772671143047,10,11,-0.04018580442500281,0.755899618313947,0.8701109298823698,18.0
G2_raw,1244,1.7341352741405456,13.939994165116927,0.7009646302250804,1.6044238209209285,9,11,-0.00440295525688151,0.8526146810626163,0.8815205930779293,18.0
G2_decon,1167,1.5706519010928797,13.45888518502896,0.6915167095115681,1.5693426393425702,9,11,-0.01639148384878083,0.7349261629606889,0.8357257381321908,19.0
G3_raw,1234,1.7425436089019437,14.121098937617047,0.7123176661264181,1.6171938855815295,11,11,0.011511669903559688,0.8286537365382365,0.9138898723637074,18.0
G3_decon,1164,1.5202438540339465,13.060514209913629,0.7036082474226805,1.5578083607373074,10,11,-0.0064694121947712815,0.6976717483590166,0.8225721056749299,19.0
V_all,1846,2.3437481972760708,12.696360765309159,0.695557963163597,1.5375797368887978,11,11,0.086252491277621,1.1206560602689677,1.223092137007103,19.0
V_02,1574,2.2219075241074653,14.116312097252003,0.6982210927573063,1.6145359177554153,11,11,0.047532026387440564,1.044933625032531,1.1769738990749343,19.0
V_all_nodecon,1894,2.3825731353347237,12.57958360789189,0.6985216473072862,1.5369324051524604,11,11,0.07494590585152015,1.236197097741597,1.146376037593127,18.0
