cfg,emp_k,emp_cagr,emp_p95,rob_s0,rob_k0,d_rob_s0_pp
base(z_sig),8.89479883670807,0.27414976235031796,-0.2728839891914875,0.18182788740243994,6.083699951171874,0.0
z_exec,5.963062362670897,0.188050448266178,-0.2602915046511784,0.13740630005645738,4.429032592773437,-4.442158734598256
z_max,7.180517520904541,0.2165486269932,-0.2702124011848441,0.15056026865204641,5.104700622558594,-3.126761875039352
z_mean,8.595414624214172,0.28239075875856035,-0.2899419463921017,0.17927903093185793,5.644308471679686,-0.2548856470582006
P=3.5,8.814893198013303,0.26740679527287226,-0.27504182421142626,0.1776739786340571,6.035420532226562,-0.41539087683828413
P=4.5,8.933503904342649,0.279204949236876,-0.2742462411478594,0.18765929659614855,6.189768371582032,0.5831409193708614
z0=2.0,8.480095696449279,0.25067400924380046,-0.2631230105398749,0.18170260080912493,6.291203918457031,-0.012528659331501046
z0=2.4,9.209186549186708,0.2914060217948695,-0.29520122046842756,0.18160211255106473,5.951297302246093,-0.022577485137520448
clip_hi=2.5,8.671224589347837,0.262626042677123,-0.2657885366165879,0.18281348721842505,6.199521789550781,0.09855998159851165
clip_hi=4.0,9.164640860557554,0.2890438582023589,-0.28996589971041115,0.18130172116561294,5.957393188476562,-0.052616623682699704
clip_hi=5.0,8.60666534423828,0.27195490290542734,-0.2867279835079938,0.17581680714161463,5.744524841308593,-0.6011080260825308
clip_lo=0.2,8.89479883670807,0.27414976235031796,-0.2728839891914875,0.18182788740243994,6.083699951171874,0.0
clip_lo=0.5,8.89479883670807,0.27414976235031796,-0.2728839891914875,0.18182788740243994,6.083699951171874,0.0
