cfg,n,dropped,sum_ret,diff_vs_d0,diff_is,diff_oos,best_year,best_year_diff,excl_best,excl_2022
d1_base,1207,7,1.96224087528572,0.05365577005262498,-0.008010140700745128,0.06166591075337011,2017,0.02154665481821525,0.03210911523440973,0.03702623905590524
tau0.75,1202,12,1.9581892397789682,0.049604134545872994,-0.01206177620749711,0.06166591075337011,2020,0.02092202225966744,0.028682112286205562,0.03297460354915326
tau1.0,1193,21,1.9406670237879562,0.0320819185548611,-0.020566263091605287,0.05264818164646639,2020,0.01948316510047042,0.012598753454390682,0.01887824166181326
tau1.25,1174,40,1.9769586783591828,0.06837357312608772,0.024479287428578897,0.04389428569750881,2021,0.04426081956438412,0.024112753561703594,0.05709098798009844
tau1.5,1133,81,2.0570043330815824,0.1484192278484873,0.006641301171308879,0.1417779266771784,2022,0.09084484731436115,0.05757438053412613,0.05757438053412613
dz0.3,1061,153,1.6487768120152113,-0.2598082932178839,-0.1405911737281626,-0.11921711948972134,2026,0.011627848577136751,-0.2714361417950206,-0.21775278527191816
dz0.5,1139,75,1.8359809350413447,-0.07260417019175043,-0.056058670288665714,-0.016545499903084696,2017,0.041484788611344935,-0.11408895880309537,-0.08828430326874766
dz0.75,1174,40,1.8824355871446605,-0.02614951808843491,-0.0365075986831425,0.01035808059470759,2021,0.04080328350683365,-0.06695280159526856,-0.034765239316207945
dz1.0,1197,17,1.9231825760291263,0.01459747079603136,-0.025961735002462075,0.04055920579849344,2021,0.01703380911901664,-0.0024363383229852806,0.0040936729158780605
exitdx1,1214,0,1.8500741889299626,-0.058510916303132654,-0.0813731973421068,0.02286228103897414,2022,0.050351568735127916,-0.10886248503826057,-0.10886248503826057
exitdx2,1214,0,1.8303414126948703,-0.07824369253822483,-0.05314389298161548,-0.025099799556609348,2021,0.0871196436225058,-0.16536333616073062,-0.10519529602813071
d1_h20decon,1206,8,2.0022989893383873,0.09371388410529204,0.02656440182057533,0.0671494822847167,2020,0.09760384161693014,-0.0038899575116380924,0.06337856185158763
