n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year,family,kind,side
3841,391.2,-4.0514,0.785,0.775,0.797,-2.2691,-1.7823,-10.55,0.304,16.0,3/11,-1.0315,tsmom_lb60_D1,net,both
1922,196.0,-0.8139,0.913,0.84,0.997,-0.7989,-0.0151,-4.23,0.31,16.2,5/11,-0.5089,tsmom_lb60_D1,net,long
1919,195.5,-3.2375,0.659,0.711,0.599,-1.4703,-1.7672,-16.87,0.299,15.7,0/11,-0.776,tsmom_lb60_D1,net,short
6212,623.0,-4.5028,0.836,0.848,0.821,-2.2821,-2.2207,-7.25,0.355,32.1,1/11,-1.1243,donch_e55x20_H4,net,both
3126,313.9,-1.7675,0.872,0.861,0.886,-1.0576,-0.7099,-5.65,0.356,32.6,3/11,-0.4334,donch_e55x20_H4,net,long
3086,309.5,-2.7353,0.799,0.835,0.755,-1.2245,-1.5108,-8.86,0.355,31.7,2/11,-0.8317,donch_e55x20_H4,net,short
3841,391.2,-3.2433,0.823,0.812,0.835,-1.839,-1.4043,-8.44,0.315,16.0,3/11,-0.9973,tsmom_lb60_D1,gross,both
1922,196.0,-0.4103,0.955,0.879,1.041,-0.5845,0.1742,-2.14,0.323,16.2,5/11,-0.4916,tsmom_lb60_D1,gross,long
1919,195.5,-2.833,0.693,0.746,0.63,-1.2545,-1.5785,-14.76,0.308,15.7,2/11,-0.7255,tsmom_lb60_D1,gross,short
6212,623.0,-3.1928,0.88,0.893,0.864,-1.557,-1.6358,-5.14,0.363,32.1,2/11,-0.9851,donch_e55x20_H4,gross,both
3126,313.9,-1.1167,0.917,0.905,0.931,-0.7013,-0.4154,-3.57,0.363,32.6,3/11,-0.3979,donch_e55x20_H4,gross,long
3086,309.5,-2.0761,0.843,0.881,0.796,-0.8557,-1.2204,-6.73,0.363,31.7,2/11,-0.7634,donch_e55x20_H4,gross,short
