instr,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AUDCAD,0.39,0.37,0.72,0.52,2.17,2.23,0.11,1.05,0.41,0.88,inf
AUDCHF,0.09,0.7,0.36,0.37,1.12,3.45,1.22,0.32,0.57,0.48,inf
AUDNZD,0.21,0.65,0.51,3.53,1.39,1.03,1.92,0.36,0.2,1.56,inf
AUDUSD,0.02,1.08,1.12,0.22,1.82,0.79,0.52,0.39,0.15,0.33,2.05
EURAUD,0.06,0.82,1.38,0.31,0.39,1.74,0.85,0.46,0.34,1.49,6.88
EURCAD,0.32,0.59,0.63,0.55,0.52,1.29,1.29,0.5,0.39,1.49,0.14
EURCHF,0.49,0.33,1.19,0.51,1.73,1.01,0.58,0.65,1.47,0.24,0.06
EURGBP,0.0,0.26,0.32,1.68,0.74,0.38,0.1,0.84,0.61,0.35,0.28
EURJPY,0.39,2.24,0.21,1.15,0.89,1.26,0.17,0.67,0.84,1.24,1.62
EURUSD,0.11,1.7,1.15,0.41,0.87,0.86,3.19,0.43,0.46,1.61,0.0
GBPAUD,0.1,0.92,0.37,0.99,1.47,0.49,0.78,0.84,0.48,0.84,4.59
GBPCHF,0.09,0.27,0.81,1.63,0.68,0.67,0.31,0.12,0.48,0.39,0.41
GBPJPY,0.05,0.46,0.12,inf,7.68,1.65,0.3,0.74,1.14,0.93,1.69
GBPUSD,0.62,0.33,0.66,0.89,2.65,0.89,6.59,1.43,0.44,0.81,0.19
NZDCAD,1.03,0.56,2.95,0.68,0.26,3.52,0.48,1.27,0.14,0.51,0.02
NZDUSD,0.22,0.92,1.02,0.3,2.05,0.63,0.96,0.52,0.27,1.29,0.05
USDCAD,0.16,0.73,0.38,0.22,5.95,0.61,0.53,0.28,0.51,1.3,0.56
USDCHF,0.07,1.38,0.72,0.22,0.45,0.39,0.59,0.51,144.9,1.88,0.23
USDJPY,0.0,1.06,2.07,1.61,0.25,2.2,23.38,0.86,10.51,1.54,0.8
XAUUSD,0.06,1.95,1.45,2.8,5.4,0.69,3.83,0.9,3.91,4.09,1.08
