n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year,label,tf,session,filt,cost
58574,5861.4,-10.0862,0.87,0.868,0.873,-5.7327,-4.3535,-1.72,0.42,27.5,1/11,-1.6683,LDN_raw_M15,M15,LDN,0,net
57787,5782.7,-10.4994,0.864,0.864,0.863,-5.8457,-4.6537,-1.82,0.424,14.0,0/11,-1.6451,LDN_raw_M30,M30,LDN,0,net
32420,3269.3,-6.0996,0.848,0.854,0.841,-3.2347,-2.8649,-1.88,0.402,26.3,0/11,-1.0045,LDN_narrow_M15,M15,LDN,1,net
31849,3211.7,-6.3101,0.841,0.843,0.839,-3.4354,-2.8747,-1.98,0.405,13.4,0/11,-0.9656,LDN_narrow_M30,M30,LDN,1,net
56169,5620.7,-14.7529,0.78,0.777,0.785,-8.1942,-6.5587,-2.63,0.426,24.9,0/11,-2.0407,NY_raw_M15,M15,NY,0,net
56793,5683.2,-15.3763,0.771,0.773,0.769,-8.2534,-7.1229,-2.71,0.426,12.5,0/11,-2.0033,NY_raw_M30,M30,NY,0,net
31532,3179.8,-7.9434,0.776,0.752,0.805,-4.8278,-3.1156,-2.52,0.415,23.0,0/11,-1.1649,NY_narrow_M15,M15,NY,1,net
31766,3203.3,-7.9553,0.775,0.747,0.81,-4.9305,-3.0248,-2.5,0.415,11.6,0/11,-1.1784,NY_narrow_M30,M30,NY,1,net
58574,5861.4,2.1495,1.03,1.027,1.035,1.0701,1.0794,0.37,0.446,27.5,6/11,-0.4606,LDN_raw_M15,M15,LDN,0,gross
57787,5782.7,1.5876,1.023,1.022,1.023,0.8659,0.7217,0.27,0.451,14.0,6/11,-0.459,LDN_raw_M30,M30,LDN,0,gross
32420,3269.3,0.6662,1.018,1.025,1.01,0.5058,0.1604,0.21,0.427,26.3,6/11,-0.2996,LDN_narrow_M15,M15,LDN,1,gross
31849,3211.7,0.3494,1.01,1.012,1.007,0.2359,0.1135,0.11,0.431,13.4,5/11,-0.2766,LDN_narrow_M30,M30,LDN,1,gross
56631,5667.0,-3.1502,0.948,0.945,0.952,-1.816,-1.3342,-0.56,0.46,24.2,4/11,-0.8361,NY_raw_M15,M15,NY,0,gross
57312,5735.1,-3.4948,0.943,0.945,0.94,-1.7963,-1.6985,-0.61,0.461,12.1,3/11,-0.73,NY_raw_M30,M30,NY,0,gross
31532,3179.8,-1.387,0.956,0.927,0.992,-1.2788,-0.1083,-0.44,0.449,23.0,6/11,-0.5172,NY_narrow_M15,M15,NY,1,gross
31766,3203.3,-1.3304,0.958,0.923,1.001,-1.3425,0.0121,-0.42,0.449,11.6,4/11,-0.5387,NY_narrow_M30,M30,NY,1,gross
