n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year,label,tf,side,params
8442,847.1,-4.7288,0.861,0.895,0.822,-1.9367,-2.792,-5.6,0.314,36.1,1/11,-1.4146,ma_f10s50_H4_both,H4,both,"{""fast"": 10, ""slow"": 50}"
4195,422.4,-1.5653,0.929,0.913,0.95,-1.0877,-0.4776,-3.73,0.323,72.2,4/11,-1.1079,ma_f20s100_H4_both,H4,both,"{""fast"": 20, ""slow"": 100}"
1968,199.3,-2.5056,0.839,0.836,0.843,-1.3809,-1.1246,-12.73,0.337,152.7,2/11,-0.9723,ma_f50s200_H4_both,H4,both,"{""fast"": 50, ""slow"": 200}"
3789,381.5,-1.973,0.908,0.888,0.936,-1.3811,-0.5919,-5.21,0.34,15.5,4/11,-0.9042,ma_f5s20_D1_both,D1,both,"{""fast"": 5, ""slow"": 20}"
1668,169.6,-2.7757,0.806,0.842,0.765,-1.1995,-1.5762,-16.64,0.321,34.8,1/11,-0.7461,ma_f10s50_D1_both,D1,both,"{""fast"": 10, ""slow"": 50}"
848,87.9,-3.141,0.693,0.739,0.646,-1.3327,-1.8083,-37.04,0.305,66.8,2/11,-1.278,ma_f20s100_D1_both,D1,both,"{""fast"": 20, ""slow"": 100}"
354,37.8,-1.7687,0.722,0.706,0.742,-1.0458,-0.7229,-49.96,0.311,151.8,3/10,-0.6993,ma_f50s200_D1_both,D1,both,"{""fast"": 50, ""slow"": 200}"
966,99.2,-3.7986,0.682,0.771,0.587,-1.4082,-2.3904,-39.32,0.311,9.9,1/11,-1.3439,ma_f4s13_W1_both,W1,both,"{""fast"": 4, ""slow"": 13}"
311,33.7,-2.2871,0.633,0.666,0.595,-1.119,-1.168,-73.54,0.302,28.5,3/10,-0.7391,ma_f10s40_W1_both,W1,both,"{""fast"": 10, ""slow"": 40}"
543,55.4,-1.2476,0.737,0.763,0.706,-0.6082,-0.6394,-22.98,0.317,33.1,3/11,-0.3337,ma_f10s50_slope10_D1_both,D1,both,"{""fast"": 10, ""slow"": 50, ""slope_bars"": 10}"
342,35.5,-1.6896,0.606,0.668,0.554,-0.6479,-1.0417,-49.4,0.284,64.8,3/11,-0.7318,ma_f20s100_slope10_D1_both,D1,both,"{""fast"": 20, ""slow"": 100, ""slope_bars"": 10}"
